ID,캐릭터 이름,대사,선택 대사,다음 대사 번호,대사 끝,일러스트 인덱스,플래그,PlayTimeline,TimelineName
1,알람,띠리리링 띠리리링,알람을 끈다,2,,0,,,
2,,,,3,,1,,,
3,주인공,아..출근..,,4,,2,,,
4,주인공,하..출근 준비하자,,5,,3,,,
5,할머니,커피로 되겠니?,,6,,4,,,
6,주인공,네 뭐..,,7,,,,,
7,할머니,넌 요즘 어떻게 지내니? 얼굴이 좋아 보이지 않는구나.,괜찮아요 | 요즘 좀 힘드네요,8|8,,5,,,
8,주인공,괜찮아요  그냥 회사 일이 조금 힘들어서요.,,9,,6,,,
9,할머니,얼굴을 보아하니,,10,,7,,,
,,또 그때가 생각나는구나,,10,,,,,
10,주인공,..괜찮다고 했잖아요. 할머니 걱정하실 필요 없어요.,,11,,8,,,
,,벌써 다 지난 일이잖아요.,,11,,,,,
11,할머니,지난 일이라도 절대 잊을 수 없다는 걸 나도 안다,,12,,9,,,
,,하지만 네가 무너지면 모든 게 끝난다. 넌 우리 가족의 마지막 희망이야.,,12,,,,,
12,주인공,저 이제 회사 가봐야겠어요,,13,,10,,,
13,할머니,...,,,,11,,,
14,,아직도 그 날 일이 선명히 기억난다',,,,12,,,
15,주인공,아무리 잊으려 해도 잊혀지지 않아,,,,,,,
16,,평온한 일상 속에서도 이 좆같은 기억은 문뜩 내 정신을 잠식한다.',,,,13,,,
17,,(사람들의 웃는 소리가 들린다),,,,14,,,
18,,(시끄러운 웃음 소리....),,,,15,,,
19,주인공,삶이 얼마나 즐거우면 저렇게 웃을 수 있는걸까?,,,,,,,
,,고생 한 번 안하면서 살아온 인생이겠지,,,,,,,
20,주인공,저 사람들도 나처럼 과거를 숨기고 있을까?,,,,16,,,
,,아니' 아닐 거야. 저들은 그냥 평범하게 살아가는 사람들일 거야.,,,,,,,
21,주인공,나와는 다르게...,,,,17,,,
22,주인공,네' 곽두팔입니다.,,,,18,,,
23,???,두팔 씨' 지금 장난해요?,,,,,,,
24,주인공,네? 무슨 말씀이신지요?,,,,,,,
25,???,뭐어?? 무슨 말씀?????,,,,,,,
26,???,이번 프로젝트 결과물 말이야.,,,,,,,
27,???,왜 다른 팀장이 나한테 “과하게 퀄리티 높여서 오히려 시간이 지연됐다”고 말하죠?,기한 준수했고' 퀄리티는 방침입니다. | 더 신경 쓰겠습니다. 죄송합니다.,28|29,,18,,,
28,주인공,이번 프로젝트는 마감 기한 내에 완성했고'  애초에 퀄리티도 높이는 게 회사 방침 아닌가요?,,,,18,,,
,,지연된 건 다른 팀에서 전달이 늦어진 자료 때문이었고요.,,30,,,,,
29,주인공,제가 더 꼼꼼하게 챙기지 못한 부분이 있었다면 죄송합니다,,,,18,,,
,,다만' 이번 프로젝트는 마감 기한을 지켰고' 지연의 주요 원인은 다른 팀 자료 전달이 늦어진 점이었습니다,,,,,,,
,,앞으로 이런 일이 없도록 더 철저히 준비하겠습니다.,,31,,,,,
30,???,그런 핑계는 듣고 싶지 않아요! 지금 분위기 보면 두팔 씨 때문에 전반적인 일정이 꼬인 거잖아요.,,,,,,,
,,이번에 겨우 봐주는 거니까' 다음엔 정말 신경 쓰세요. ,,,,,,,
,,이런 일 또 생기면 그냥 끝입니다. 그때는 절대 이해 안 해줄 거예요.,,32,,,,,
31,???,죄송하단 말만 반복하지 말고' 앞으로 실질적으로 뭐가 달라질지 보여주세요.,,,,,,,
,,이번에 겨우 봐주는 거니까' 다음엔 정말 신경 쓰세요. ,,,,,,,
,,이런 일 또 생기면 그냥 끝입니다. 그때는 절대 이해 안 해줄 거예요.,,32,,,,,
32,주인공,네 죄송합니다..,,,,,,,
